Заголовок,Страница,Район,Дата,Цена
"Сдам койко-место,для девушки(Щорса)",https://www.olx.ua/obyavlenie/sdam-koyko-mesto-dlya-devushkischorsa-IDAMyb6.html#7fd9525c98, Малиновский,29  июнь,1 000 грн.
"Филатова, квартира с ремонтом. Первая Аренда 1196",https://www.olx.ua/obyavlenie/filatova-kvartira-s-remontom-pervaya-arenda-1196-IDxIoeC.html#7fd9525c98, Малиновский,29  июнь,11 500 грн.
Кредит под 0%,https://www.olx.ua/obyavlenie/kredit-pod-0-IDAMxWC.html#7fd9525c98, Киевский,29  июнь,1 000 грн.
Сдам 2 комнатную квартиру в новом доме улица Педагогическая,https://www.olx.ua/obyavlenie/sdam-2-komnatnuyu-kvartiru-v-novom-dome-ulitsa-pedagogicheskaya-IDAMxqk.html#7fd9525c98, Приморский,29  июнь,15 000 грн.
Сдам на длительно 2-х ком. Таирова.,https://www.olx.ua/obyavlenie/sdam-na-dlitelno-2-h-kom-tairova-IDzLPmq.html#7fd9525c98, Киевский,29  июнь,9 000 грн.
Уютная кв-ра со всем необходимым на Бочарова,https://www.olx.ua/obyavlenie/uyutnaya-kv-ra-so-vsem-neobhodimym-na-bocharova-IDAMvDe.html#7fd9525c98, Суворовский,29  июнь,6 200 грн.
Сдам 1 комнатную квартиру в ЖМ 7 Небо,https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-v-zhm-7-nebo-IDAp4Wv.html#7fd9525c98, Малиновский,29  июнь,5 000 грн.
Сдам 3 ком кв Ул.Варненская /Парк Горького!,https://www.olx.ua/obyavlenie/sdam-3-kom-kv-ul-varnenskaya-park-gorkogo-IDAMvmc.html#7fd9525c98, Малиновский,29  июнь,9 000 грн.
Сдам 1 комнатную р-н Киевского рынка.,https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-r-n-kievskogo-rynka-IDAp4fM.html#7fd9525c98, Киевский,29  июнь,5 500 грн.
Сдам красивую квартиру на Молдаванке в ЖК Люксембург в новострое!,https://www.olx.ua/obyavlenie/sdam-krasivuyu-kvartiru-na-moldavanke-v-zhk-lyuksemburg-v-novostroe-IDyTCsS.html#7fd9525c98;promoted, Малиновский,29  июнь,8 000 грн.
Сдам с 6 июля трешку в новострое ул. Зоопарковая/Говорова!,https://www.olx.ua/obyavlenie/sdam-s-6-iyulya-treshku-v-novostroe-ul-zooparkovaya-govorova-IDAx9PU.html#7fd9525c98, Приморский,29  июнь,15 841 грн.
"Сдам с 6 июля в центре на Асташкина/Льва Толстого ЖК 16 ""Жемчужина""",https://www.olx.ua/obyavlenie/sdam-s-6-iyulya-v-tsentre-na-astashkina-lva-tolstogo-zhk-16-zhemchuzhina-IDvKBok.html#7fd9525c98, Приморский,29  июнь,11 853 грн.
"Сдается 3-х комн. кв-ра, дома  Каркашадзе/Французский б-р",https://www.olx.ua/obyavlenie/sdaetsya-3-h-komn-kv-ra-doma-karkashadze-frantsuzskiy-b-r-IDz8OtV.html#7fd9525c98, Приморский,29  июнь,26 402 грн.
2ком КОРОЛЕВА / евро / СУПЕР!,https://www.olx.ua/obyavlenie/2kom-koroleva-evro-super-IDAMut8.html#7fd9525c98, Киевский,29  июнь,7 500 грн.
"Ул. Космонавтов, длительная аренда 3-к квартиры",https://www.olx.ua/obyavlenie/ul-kosmonavtov-dlitelnaya-arenda-3-k-kvartiry-IDAMurO.html#7fd9525c98, Малиновский,29  июнь,8 999 грн.
"Своя 2 комн. Базарная, парк Шевченко 415 €",https://www.olx.ua/obyavlenie/svoya-2-komn-bazarnaya-park-shevchenko-415-IDwuTWc.html#7fd9525c98, Приморский,29  июнь,12 639 грн.
"Сдам комнату, рн. Киевский (Королева/обл.ГАИ)",https://www.olx.ua/obyavlenie/sdam-komnatu-rn-kievskiy-koroleva-obl-gai-IDwJ8WE.html#7fd9525c98, Киевский,29  июнь,"2 600 грн.

Договорная"
"1 комн. квартира ЖК ""Радужный""/""Густо""",https://www.olx.ua/obyavlenie/1-komn-kvartira-zhk-raduzhnyy-gusto-IDAp1nE.html#7fd9525c98, Киевский,29  июнь,7 000 грн.
Сдам 1х комнатную квартиру,https://www.olx.ua/obyavlenie/sdam-1h-komnatnuyu-kvartiru-IDAMtwC.html#7fd9525c98, Киевский,29  июнь,6 000 грн.
3 комн. квартира Королева/Архитекторская,https://www.olx.ua/obyavlenie/3-komn-kvartira-koroleva-arhitektorskaya-IDzV2ni.html#7fd9525c98, Киевский,29  июнь,9 000 грн.
"Аркадия, ЖК Гольфстрим, 2-к кв-ра с паркингом на длительную аренду",https://www.olx.ua/obyavlenie/arkadiya-zhk-golfstrim-2-k-kv-ra-s-parkingom-na-dlitelnuyu-arendu-IDAMsPG.html#7fd9525c98, Приморский,29  июнь,22 441 грн.
5мин от моря,https://www.olx.ua/obyavlenie/5min-ot-morya-IDApjlY.html#7fd9525c98, Киевский,29  июнь,4 500 грн.
"Долгосрочно! 8 ст. Б.Фонтана, ЖК ""Руслан и Людмила""",https://www.olx.ua/obyavlenie/dolgosrochno-8-st-b-fontana-zhk-ruslan-i-lyudmila-IDAMstU.html#7fd9525c98, Приморский,29  июнь,15 000 грн.
Королева/ Архитекторская Новые фото .Скидка 50 % на ком.,https://www.olx.ua/obyavlenie/koroleva-arhitektorskaya-novye-foto-skidka-50-na-kom-IDAxOT0.html#7fd9525c98, Киевский,29  июнь,10 500 грн.
3 комн. квартира Королева/Архитекторская,https://www.olx.ua/obyavlenie/3-komn-kvartira-koroleva-arhitektorskaya-IDzXoWG.html#7fd9525c98, Киевский,29  июнь,10 000 грн.
Сдам свою 1к.кв в Аркадии!!,https://www.olx.ua/obyavlenie/sdam-svoyu-1k-kv-v-arkadii-IDAMrEk.html#7fd9525c98, Приморский,29  июнь,10 000 грн.
Сдам 1- комн. квартиру на Маршала Жукова в ЖК Успех,https://www.olx.ua/obyavlenie/sdam-1-komn-kvartiru-na-marshala-zhukova-v-zhk-uspeh-IDAoYxS.html#7fd9525c98, Киевский,29  июнь,7 500 грн.
1 к Радужный/Маршала Жукова,https://www.olx.ua/obyavlenie/1-k-raduzhnyy-marshala-zhukova-IDAI1OA.html#7fd9525c98, Киевский,29  июнь,6 500 грн.
Кленовая 2а 4 Фонтана Юр Академия парк победы,https://www.olx.ua/obyavlenie/klenovaya-2a-4-fontana-yur-akademiya-park-pobedy-IDAMqdK.html#7fd9525c98, Приморский,29  июнь,21 066 грн.
Сдам комнату на черемушках ул. Варненская для Девушки длительно,https://www.olx.ua/obyavlenie/sdam-komnatu-na-cheremushkah-ul-varnenskaya-dlya-devushki-dlitelno-IDAMqos.html#7fd9525c98, Малиновский,29  июнь,2 800 грн.
Французский бульвар 22/1 Стикон пляж Дельфин клиника Филатова на лето,https://www.olx.ua/obyavlenie/frantsuzskiy-bulvar-22-1-stikon-plyazh-delfin-klinika-filatova-na-leto-IDAMq8A.html#7fd9525c98, Приморский,29  июнь,34 322 грн.
Гагарин Плаза Аркадия Гагаринское плато 5/2 Субаренда можно на 1-3 мес,https://www.olx.ua/obyavlenie/gagarin-plaza-arkadiya-gagarinskoe-plato-5-2-subarenda-mozhno-na-1-3-mes-IDAMq2k.html#7fd9525c98, Приморский,29  июнь,"17 122 грн.

Договорная"
Срочно сдам квартиру в самом центре Одессы на Пушкинской/Успенской,https://www.olx.ua/obyavlenie/srochno-sdam-kvartiru-v-samom-tsentre-odessy-na-pushkinskoy-uspenskoy-IDAMlKE.html#7fd9525c98, Приморский,28  июнь,11 500 грн.
"Свободна, современная двухуровневая квартира Таирово Королева- Вавилов",https://www.olx.ua/obyavlenie/svobodna-sovremennaya-dvuhurovnevaya-kvartira-tairovo-koroleva-vavilov-IDABCoy.html#7fd9525c98, Киевский,28  июнь,"7 000 грн.

Договорная"
Сдам одну комнату с хозяйкой,https://www.olx.ua/obyavlenie/sdam-odnu-komnatu-s-hozyaykoy-IDA2EoS.html#7fd9525c98, Малиновский,28  июнь,1 500 грн.
Сдаю 3 комн. квартиру на Черемушках.,https://www.olx.ua/obyavlenie/sdayu-3-komn-kvartiru-na-cheremushkah-IDAMfCI.html#7fd9525c98, Малиновский,28  июнь,8 000 грн.
Сдам 2 ком кв Маловского/ Балковская,https://www.olx.ua/obyavlenie/sdam-2-kom-kv-malovskogo-balkovskaya-IDAMfIi.html#7fd9525c98, Малиновский,28  июнь,"7 000 грн.

Договорная"
Сдаю в ЖК Апельсин квартиру с балконом 450$,https://www.olx.ua/obyavlenie/sdayu-v-zhk-apelsin-kvartiru-s-balkonom-450-IDzZVh0.html#7fd9525c98, Приморский,28  июнь,11 821 грн.
сдам в аренду квартиру в центре,https://www.olx.ua/obyavlenie/sdam-v-arendu-kvartiru-v-tsentre-IDAFDOG.html#7fd9525c98;promoted, Приморский,28  июнь,26 332 грн.
сдам 3 комнатную квартиру,https://www.olx.ua/obyavlenie/sdam-3-komnatnuyu-kvartiru-IDAOO8K.html#823363cb59;promoted, Суворовский,Вчера 20:46,6 500 грн.
Статусная одно спальневая(80 кв.м.) квартира в клубном доме,https://www.olx.ua/obyavlenie/statusnaya-odno-spalnevaya80-kv-m-kvartira-v-klubnom-dome-IDALijS.html#823363cb59;promoted, Приморский,28  июнь,18 388 грн.
ДОРОГО-квартиры с ЕВРОРЕМОНТОМ-пос. Котовского-на лбой срок аренды.,https://www.olx.ua/obyavlenie/dorogo-kvartiry-s-evroremontom-pos-kotovskogo-na-lboy-srok-arendy-IDAL5Sa.html#823363cb59;promoted, Суворовский,27  июнь,"6 500 грн.

Договорная"
Студия и спальня в новострое на Генуэзской Аркадия,https://www.olx.ua/obyavlenie/studiya-i-spalnya-v-novostroe-na-genuezskoy-arkadiya-IDAKsOv.html#823363cb59;promoted, Приморский,Вчера 14:17,13 201 грн.
"Сдам 1-комнат.квартиру на Французском бульваре в Одессе в Ж/К ""Крит"".",https://www.olx.ua/obyavlenie/sdam-1-komnat-kvartiru-na-frantsuzskom-bulvare-v-odesse-v-zh-k-krit-IDAtC0a.html#823363cb59;promoted, Приморский,Вчера 09:12,15 815 грн.
ЖК-Велмакс,https://www.olx.ua/obyavlenie/zhk-velmaks-IDAMatc.html#823363cb59, Приморский,28  июнь,39 404 грн.
2 комнатная Варненская / Копейка,https://www.olx.ua/obyavlenie/2-komnatnaya-varnenskaya-kopeyka-IDAM9dc.html#823363cb59, Малиновский,28  июнь,6 000 грн.
Квартира в Гольфстриме. Первая сдача. Аркадия,https://www.olx.ua/obyavlenie/kvartira-v-golfstrime-pervaya-sdacha-arkadiya-IDA8xbO.html#823363cb59, Приморский,28  июнь,15 000 грн.
Сдам 3комн.кв. Ул. Дерибасовская / Екатерининская,https://www.olx.ua/obyavlenie/sdam-3komn-kv-ul-deribasovskaya-ekaterininskaya-IDAM4NU.html#823363cb59, Приморский,28  июнь,15 777 грн.
Сдам на балковской 137 г,https://www.olx.ua/obyavlenie/sdam-na-balkovskoy-137-g-IDAM3RA.html#823363cb59, Приморский,28  июнь,10 000 грн.
Сдам 3-х ком. ул. Академическая (быв. Пионерская).Напротив Юр.академии,https://www.olx.ua/obyavlenie/sdam-3-h-kom-ul-akademicheskaya-byv-pionerskaya-naprotiv-yur-akademii-IDAM29I.html#823363cb59, Малиновский,28  июнь,12 000 грн.
Сдам 1кв на 1 месяц Ж.К.Левитана,https://www.olx.ua/obyavlenie/sdam-1kv-na-1-mesyats-zh-k-levitana-IDAM0vv.html#823363cb59, Киевский,28  июнь,9 000 грн.
Сдам 3-х комн. н/строй 7-я Фонтана Посмитного,https://www.olx.ua/obyavlenie/sdam-3-h-komn-n-stroy-7-ya-fontana-posmitnogo-IDALZH2.html#823363cb59, Приморский,28  июнь,15 805 грн.
"2к квартира с раздельными комнатами на Филатова\Космонавтов, Черемушки",https://www.olx.ua/obyavlenie/2k-kvartira-s-razdelnymi-komnatami-na-filatova-kosmonavtov-cheremushki-IDALXFe.html#823363cb59, Малиновский,28  июнь,6 500 грн.
сдам комнату с хозяйкой,https://www.olx.ua/obyavlenie/sdam-komnatu-s-hozyaykoy-IDALXAC.html#823363cb59, Малиновский,28  июнь,3 600 грн.
Сдам комнату спуск Маринеско/ Мед. институт,https://www.olx.ua/obyavlenie/sdam-komnatu-spusk-marinesko-med-institut-IDALXcE.html#823363cb59, Приморский,28  июнь,2 800 грн.
3 ком квартира у моря в аркадии,https://www.olx.ua/obyavlenie/3-kom-kvartira-u-morya-v-arkadii-IDvC0Lc.html#823363cb59, Приморский,28  июнь,14 500 грн.
"сдам 2х к. Ак.Королева Глушко, 7/9эт., с 6 ИЮЛЯ, вся техника",https://www.olx.ua/obyavlenie/sdam-2h-k-ak-koroleva-glushko-7-9et-s-6-iyulya-vsya-tehnika-IDALUos.html#823363cb59, Киевский,28  июнь,7 000 грн.
Сдам 2-ком ул.. Новосельского уг.Толстого,https://www.olx.ua/obyavlenie/sdam-2-kom-ul-novoselskogo-ug-tolstogo-IDALSv6.html#823363cb59, Суворовский,28  июнь,8 000 грн.
Сдам длительно! Аркадия!!!,https://www.olx.ua/obyavlenie/sdam-dlitelno-arkadiya-IDu0h3M.html#823363cb59, Приморский,28  июнь,22 329 грн.
Срочно сдам 2х.к.кв.vip в Белом парусе,https://www.olx.ua/obyavlenie/srochno-sdam-2h-k-kv-vip-v-belom-paruse-IDALQ2V.html#823363cb59, Приморский,28  июнь,39 404 грн.
Сдам роскошную 3-комн. квартиру 150м на Тенистой,https://www.olx.ua/obyavlenie/sdam-roskoshnuyu-3-komn-kvartiru-150m-na-tenistoy-IDALPQG.html#823363cb59, Приморский,28  июнь,21 015 грн.
Сдам комнату в коммунальной квартире Черемушки,https://www.olx.ua/obyavlenie/sdam-komnatu-v-kommunalnoy-kvartire-cheremushki-IDAuGDi.html#823363cb59, Малиновский,28  июнь,2 300 грн.
Сдам в Приморском районе 1ком.кв. 19 Жемчужина. Французкий бульвар.,https://www.olx.ua/obyavlenie/sdam-v-primorskom-rayone-1kom-kv-19-zhemchuzhina-frantsuzkiy-bulvar-IDyl2Mi.html#823363cb59, Приморский,28  июнь,13 148 грн.
Сдам 2-х комнатную квартиру на летний сезон,https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-na-letniy-sezon-IDALO8O.html#823363cb59, Приморский,28  июнь,26 243 грн.
Транспортная_Среднефонтанская_разд_длительно!,https://www.olx.ua/obyavlenie/transportnaya-srednefontanskaya-razd-dlitelno-IDALME8.html#823363cb59, Приморский,28  июнь,6 500 грн.
Сдам 2 спальни и кухня-студия в ЖК Чудо-городе,https://www.olx.ua/obyavlenie/sdam-2-spalni-i-kuhnya-studiya-v-zhk-chudo-gorode-IDALKXs.html#823363cb59, Приморский,28  июнь,13 135 грн.
Дача Ковалевского /411 батарея ---рядом море,https://www.olx.ua/obyavlenie/dacha-kovalevskogo-411-batareya-ryadom-more-IDAgtwk.html#823363cb59, Приморский,28  июнь,8 000 грн.
Квартира на черемушках . От хозяена,https://www.olx.ua/obyavlenie/kvartira-na-cheremushkah-ot-hozyaena-IDALJtK.html#823363cb59, Малиновский,28  июнь,7 500 грн.
Аренда квартиры на Французском бульваре,https://www.olx.ua/obyavlenie/arenda-kvartiry-na-frantsuzskom-bulvare-IDALJqk.html#823363cb59, Приморский,28  июнь,19 702 грн.
Сдача комнат на 6 фонтана,https://www.olx.ua/obyavlenie/sdacha-komnat-na-6-fontana-IDALIzK.html#823363cb59, Киевский,28  июнь,3 000 грн.
Сдам 3-х ком. Академическая 5В. Юр.Академия. можно на лето,https://www.olx.ua/obyavlenie/sdam-3-h-kom-akademicheskaya-5v-yur-akademiya-mozhno-na-leto-IDAddNa.html#823363cb59, Приморский,28  июнь,12 000 грн.
Сдам 3к В новом доме Базарная/Патриции,https://www.olx.ua/obyavlenie/sdam-3k-v-novom-dome-bazarnaya-patritsii-IDALeTo.html#823363cb59, Приморский,28  июнь,26 269 грн.
СРОЧНО сдам 2к кв в новострое.Можно на любой срок!,https://www.olx.ua/obyavlenie/srochno-sdam-2k-kv-v-novostroe-mozhno-na-lyuboy-srok-IDALGrC.html#823363cb59, Суворовский,28  июнь,8 000 грн.
Сдам 2 комнатную на Черёмушках,https://www.olx.ua/obyavlenie/sdam-2-komnatnuyu-na-cheremushkah-IDALGwS.html#823363cb59, Малиновский,28  июнь,"7 000 грн.

Договорная"
Сдам 2 ком квартиру Аркадия Гагарин Плаза,https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-arkadiya-gagarin-plaza-IDALGdg.html#823363cb59, Приморский,28  июнь,13 135 грн.
Квартира долгосрочно генерала Петрова угол Космонавтов (3х комнатная),https://www.olx.ua/obyavlenie/kvartira-dolgosrochno-generala-petrova-ugol-kosmonavtov-3h-komnatnaya-IDALErm.html#823363cb59, Малиновский,28  июнь,"10 000 грн.

Договорная"
Три раздельные комнаты в ЖК Гольфстрим,https://www.olx.ua/obyavlenie/tri-razdelnye-komnaty-v-zhk-golfstrim-IDvWOA0.html#823363cb59, Приморский,28  июнь,22 441 грн.
"Сдам 1-комнатную квартиру в "" 16-й Жемчужине"" на Асташкина",https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-v-16-y-zhemchuzhine-na-astashkina-IDALCOS.html#823363cb59, Приморский,28  июнь,11 854 грн.
Сдам1к Сегедская/Армейская,https://www.olx.ua/obyavlenie/sdam1k-segedskaya-armeyskaya-IDALBKV.html#823363cb59, Приморский,28  июнь,9 000 грн.
Сдамм комнату,https://www.olx.ua/obyavlenie/sdamm-komnatu-IDALB9M.html#823363cb59, Киевский,28  июнь,1 750 грн.
Сдам 1-но комн. квартиру Светлый переулок,https://www.olx.ua/obyavlenie/sdam-1-no-komn-kvartiru-svetlyy-pereulok-IDALAwi.html#823363cb59, Приморский,28  июнь,7 000 грн.
"Апартаменты Luxury sea view у моря. 5 мин. до моря - ""Тропа Здоровья""",https://www.olx.ua/obyavlenie/apartamenty-luxury-sea-view-u-morya-5-min-do-morya-tropa-zdorovya-IDA50bi.html#823363cb59, Киевский,28  июнь,26 269 грн.
Сдам в Киевском р-не в кооперативном кирпичном доме. Балкон,https://www.olx.ua/obyavlenie/sdam-v-kievskom-r-ne-v-kooperativnom-kirpichnom-dome-balkon-IDALzbk.html#823363cb59, Киевский,28  июнь,7 500 грн.
3-х комнатная на Терешковой,https://www.olx.ua/obyavlenie/3-h-komnatnaya-na-tereshkovoy-IDAsjEu.html#7f561b6e5c;promoted, Приморский,Вчера 11:58,7 000 грн.
Сдам 2-х ком квартиру с ремонтом по ул Проховская!,https://www.olx.ua/obyavlenie/sdam-2-h-kom-kvartiru-s-remontom-po-ul-prohovskaya-IDARIMC.html#7f561b6e5c;promoted, Малиновский,3  июль,6 500 грн.
От хозяина Пентхаус Терраса Аркадия,https://www.olx.ua/obyavlenie/ot-hozyaina-penthaus-terrasa-arkadiya-IDANfGY.html#7f561b6e5c;promoted, Киевский,4  июль,31 682 грн.
Сдам 3х комнатную кватиру,https://www.olx.ua/obyavlenie/sdam-3h-komnatnuyu-kvatiru-IDAN5tv.html#7f561b6e5c;promoted, Киевский,Сегодня 07:03,10 500 грн.
Срочно сдам 2х комнатную квартиру на МАЛОВСКОГО,https://www.olx.ua/obyavlenie/srochno-sdam-2h-komnatnuyu-kvartiru-na-malovskogo-IDALrrI.html#7f561b6e5c;promoted, Приморский,4  июль,8 500 грн.
Сдам 1 ком.кварт.Привоз жд вокзал,https://www.olx.ua/obyavlenie/sdam-1-kom-kvart-privoz-zhd-vokzal-IDALyU6.html#7f561b6e5c, Приморский,28  июнь,5 000 грн.
Сдам трехкомнатную квартиру на 7 станции Фонтанской дороги,https://www.olx.ua/obyavlenie/sdam-trehkomnatnuyu-kvartiru-na-7-stantsii-fontanskoy-dorogi-IDABGrc.html#7f561b6e5c, Приморский,28  июнь,7 800 грн.
Сдам 2к. квартиру на ул. Дюковская,https://www.olx.ua/obyavlenie/sdam-2k-kvartiru-na-ul-dyukovskaya-IDALxY6.html#7f561b6e5c, Приморский,28  июнь,12 000 грн.
Срочно сдам квартиру Каретный!!!,https://www.olx.ua/obyavlenie/srochno-sdam-kvartiru-karetnyy-IDALmYm.html#7f561b6e5c, Приморский,28  июнь,13 135 грн.
Роскошная 4 комнатная квартира в элитном доме Арк Палас,https://www.olx.ua/obyavlenie/roskoshnaya-4-komnatnaya-kvartira-v-elitnom-dome-ark-palas-IDrneV2.html#7f561b6e5c, Приморский,28  июнь,78 807 грн.
Жукова_Школьный_разд_классика!,https://www.olx.ua/obyavlenie/zhukova-shkolnyy-razd-klassika-IDAbdwc.html#7f561b6e5c, Киевский,28  июнь,10 500 грн.
Сдам 1 комнатную квартиру улица Гайдара/Вишневского,https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-ulitsa-gaydara-vishnevskogo-IDALvpU.html#7f561b6e5c, Малиновский,28  июнь,5 500 грн.
Сдам 1 ком. ЖМ Радужный,https://www.olx.ua/obyavlenie/sdam-1-kom-zhm-raduzhnyy-IDALt2c.html#7f561b6e5c, Киевский,28  июнь,7 000 грн.
Сдам комн. в 2-х комн.кв для 1-2-х парней. Вся необходимая меб.техн.ин,https://www.olx.ua/obyavlenie/sdam-komn-v-2-h-komn-kv-dlya-1-2-h-parney-vsya-neobhodimaya-meb-tehn-in-IDABy4I.html#7f561b6e5c, Суворовский,28  июнь,2 000 грн.
Новострой ЖД ВОКЗАЛ/ Впельсин,https://www.olx.ua/obyavlenie/novostroy-zhd-vokzal-vpelsin-IDALsVC.html#7f561b6e5c, Приморский,28  июнь,10 000 грн.
Свободно! 2-х ком квартира - ул. С. Ядова,https://www.olx.ua/obyavlenie/svobodno-2-h-kom-kvartira-ul-s-yadova-IDALsJy.html#7f561b6e5c, Суворовский,28  июнь,6 500 грн.
Сдам комнату на подселение для 1 парня. М.Жукова/Левитана,https://www.olx.ua/obyavlenie/sdam-komnatu-na-podselenie-dlya-1-parnya-m-zhukova-levitana-IDALswg.html#7f561b6e5c, Киевский,28  июнь,2 700 грн.
"Стильная квартира у парка Победы, ул. Зоопарковая",https://www.olx.ua/obyavlenie/stilnaya-kvartira-u-parka-pobedy-ul-zooparkovaya-IDxIwAV.html#7f561b6e5c, Приморский,28  июнь,11 881 грн.
Сдам комнату возле Медина,https://www.olx.ua/obyavlenie/sdam-komnatu-vozle-medina-IDALrqE.html#7f561b6e5c, Приморский,28  июнь,3 000 грн.
Евро-ремонт ТАИРОВА,https://www.olx.ua/obyavlenie/evro-remont-tairova-IDALruv.html#7f561b6e5c, Киевский,28  июнь,7 500 грн.
Сдам комнату,https://www.olx.ua/obyavlenie/sdam-komnatu-IDALr6U.html#7f561b6e5c, Малиновский,28  июнь,1 500 грн.
Малоквартирный клубный дом 23 Жемчужина на 10 Фонтана,https://www.olx.ua/obyavlenie/malokvartirnyy-klubnyy-dom-23-zhemchuzhina-na-10-fontana-IDALiee.html#7f561b6e5c;promoted, Приморский,28  июнь,18 388 грн.
3 жемчужина,https://www.olx.ua/obyavlenie/3-zhemchuzhina-IDACZW4.html#7f561b6e5c, Киевский,28  июнь,8 000 грн.
Статусная одно спальневая(80 кв.м.) квартира в клубном доме,https://www.olx.ua/obyavlenie/statusnaya-odno-spalnevaya80-kv-m-kvartira-v-klubnom-dome-IDALijS.html#7f561b6e5c;promoted, Приморский,28  июнь,18 388 грн.
"Очень уютная 1 комн. квартира в ЖК "" ЖЕМЧУЖИНА"",на МАРСЕЛЬСКОЙ.",https://www.olx.ua/obyavlenie/ochen-uyutnaya-1-komn-kvartira-v-zhk-zhemchuzhina-na-marselskoy-IDALoM2.html#7f561b6e5c, Суворовский,28  июнь,7 500 грн.
Сдам 1к квартиру для семьи из 2х чел в р-не Малиновского рынка,https://www.olx.ua/obyavlenie/sdam-1k-kvartiru-dlya-semi-iz-2h-chel-v-r-ne-malinovskogo-rynka-IDAJHta.html#7f561b6e5c, Киевский,28  июнь,5 000 грн.
Сдам квартиру в Центре. Среднефонтанская.Новый дом.,https://www.olx.ua/obyavlenie/sdam-kvartiru-v-tsentre-srednefontanskaya-novyy-dom-IDALmIG.html#7f561b6e5c, Приморский,28  июнь,9 000 грн.
Сдам комнату!,https://www.olx.ua/obyavlenie/sdam-komnatu-IDALmdV.html#7f561b6e5c, Киевский,28  июнь,3 600 грн.
Сдам 1 комнатную квартиру улица Космонавтов/10 Квартал,https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-ulitsa-kosmonavtov-10-kvartal-IDALlRv.html#7f561b6e5c, Малиновский,28  июнь,5 500 грн.
Сдам 2-х комнатную квартиру улица Ильфа и Петрова/Вильямса,https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-ulitsa-ilfa-i-petrova-vilyamsa-IDALlOM.html#7f561b6e5c, Киевский,28  июнь,7 000 грн.
"Сдам отличный Альтаир,кухня студия и спальня！",https://www.olx.ua/obyavlenie/sdam-otlichnyy-altair-kuhnya-studiya-i-spalnya-IDALkSm.html#7f561b6e5c, Киевский,28  июнь,8 500 грн.
Сдам квартиру,https://www.olx.ua/obyavlenie/sdam-kvartiru-IDyRIU4.html#7f561b6e5c, Киевский,28  июнь,26 269 грн.
аренда квартира,https://www.olx.ua/obyavlenie/arenda-kvartira-IDALgcq.html#7f561b6e5c, Малиновский,27  июнь,6 000 грн.
Сдам квартиру на Таирова,https://www.olx.ua/obyavlenie/sdam-kvartiru-na-tairova-IDALegU.html#7f561b6e5c, Киевский,27  июнь,6 500 грн.
Сдам комнату ..не Посредник!,https://www.olx.ua/obyavlenie/sdam-komnatu-ne-posrednik-IDALbNv.html#7f561b6e5c, Малиновский,27  июнь,3 300 грн.
Сдам 1-комн кв в Альтаире 2,https://www.olx.ua/obyavlenie/sdam-1-komn-kv-v-altaire-2-IDALaSA.html#7f561b6e5c, Киевский,27  июнь,7 200 грн.
"Отличная квартира, 2к + кухня-студия, Довженко / пр Шевченко",https://www.olx.ua/obyavlenie/otlichnaya-kvartira-2k-kuhnya-studiya-dovzhenko-pr-shevchenko-IDAL9LS.html#7f561b6e5c, Киевский,27  июнь,11 881 грн.
Сдается комната с августа месяца,https://www.olx.ua/obyavlenie/sdaetsya-komnata-s-avgusta-mesyatsa-IDAL7h2.html#7f561b6e5c, Малиновский,27  июнь,3 500 грн.
От хозяйки СДАМ ПРОДАМ 3 х ком квартиру в центре Одессы Воронцовски пе,https://www.olx.ua/obyavlenie/ot-hozyayki-sdam-prodam-3-h-kom-kvartiru-v-tsentre-odessy-vorontsovski-pe-IDmYlLo.html#7f561b6e5c, Приморский,27  июнь,"8 500 грн.

Договорная"
ДОРОГО-квартиры с ЕВРОРЕМОНТОМ-пос. Котовского-на лбой срок аренды.,https://www.olx.ua/obyavlenie/dorogo-kvartiry-s-evroremontom-pos-kotovskogo-na-lboy-srok-arendy-IDAL5Sa.html#7f561b6e5c;promoted, Суворовский,27  июнь,"6 500 грн.

Договорная"
7 Фонтана_Клубничный_130 м_длительно!,https://www.olx.ua/obyavlenie/7-fontana-klubnichnyy-130-m-dlitelno-IDzyDs4.html#7f561b6e5c, Приморский,27  июнь,"14 448 грн.

Договорная"
Сдам квартиру с капремонтом Бочарова,https://www.olx.ua/obyavlenie/sdam-kvartiru-s-kapremontom-bocharova-IDAL2ME.html#7f561b6e5c, Суворовский,27  июнь,7 500 грн.
Сдам двухкомнатную на Сегедской,https://www.olx.ua/obyavlenie/sdam-dvuhkomnatnuyu-na-segedskoy-IDAKZja.html#7f561b6e5c, Малиновский,27  июнь,8 000 грн.
ЖК 8 жемчужина! Аркадия.супер-цена,https://www.olx.ua/obyavlenie/zhk-8-zhemchuzhina-arkadiya-super-tsena-IDAKXXk.html#7f561b6e5c, Приморский,27  июнь,10 518 грн.
